OID_,ORIG_FID,ORIG_SEQ,ORIG_FID_1,ORIG_SEQ_1,length_km,Barrier_DNSTR,Shape_Length
147,1,136,136,1,0.000000000000000,,8586.346920181214955
148,1,137,137,1,1.824076965406060,TU_CUL_FH-01,2456.373949005022496
149,1,138,138,1,4.030042942229152,,5422.495781785214604
150,1,139,139,1,0.000000000000000,,8499.126921146285895
151,1,140,140,1,2.444684072880912,TU_CUL_FH-01,3289.669772480985102
152,1,141,141,1,0.315190467865061,,425.104679604480509
153,1,142,142,1,0.895306785116163,TU_CUL_FH-01,1207.051456667693856
154,1,143,143,1,2.302763767675760,,3102.308044049857926
155,1,144,144,1,2.981052237176627,,4012.688150591018257
156,1,145,145,1,11.960081222170240,,16114.001435309999579
157,1,146,146,1,0.000000000000000,,1276.830969677342864
158,1,147,147,1,2.182210305538009,TU_CUL_FH-01,2937.927847156454845
159,1,148,148,1,2.922326509118955,TU_CUL_FH-01,3940.446123133505353
160,1,149,149,1,1.946647935704700,,2627.324383367154041
161,1,150,150,1,3.765433916653852,,5071.274798530193038
162,1,151,151,1,0.000000000000000,,10471.759783505589439
163,1,152,152,1,4.761954695819254,,6411.841919792972476
164,1,153,153,1,0.000000000000000,,651.266450787780286
165,1,154,154,1,0.000000000000000,,1989.403601835294467
166,1,155,155,1,3.345138678062255,,4504.010624421990542
167,1,156,156,1,0.000000000000000,,131.477291528027109
168,1,157,157,1,0.230199520991754,,310.293484169832311
169,1,158,158,1,1.104488001284544,,1486.417900905187707
170,1,159,159,1,0.000000000000000,,9919.415534674775699
171,1,160,160,1,0.000000000000000,,909.393877753231436
172,1,161,161,1,3.000027172899793,,4040.315454401395527
173,1,162,162,1,2.661029653648795,,3586.795153252775435
174,1,163,163,1,0.000000000000000,,920.441220973088434
175,1,164,164,1,0.434263311326965,,584.798547084202937
176,1,165,165,1,0.000000000000000,,1822.896919849610185
177,1,166,166,1,7.939018739821706,,10694.073054917233094
178,1,167,167,1,2.526079844145389,,3402.616344730858145
179,1,168,168,1,2.416440997795779,,3256.805191051485053
180,1,169,169,1,1.678361736049857,,2259.692116355368853
181,1,170,170,1,3.623979667139900,,4885.963797502450689
182,1,171,171,1,4.114564807571545,,5543.460941542988621
183,1,172,172,1,0.000000000000000,,529.624815456509282
184,1,173,173,1,0.000000000000000,,895.559026171336200
